chr1	0	113894101	113886088	113902114
chr10	1.9	4815742	3547560	6083924
chr10	0	6326296	6083924	6568668
chr10	0	6703582	6568668	6838496
chr10	0	6844968.5	6838496	6851441
chr10	0.300000000000001	7290225	6851441	7729009
chr10	0.399999999999999	8154442.5	7729009	8579876
chr10	0	8649122.5	8579876	8718369
chr10	0.300000000000001	9326638	8718369	9934907
chr10	0	9946593	9934907	9958279
chr10	0	10104408.5	9958279	10250538
chr10	1.1	11123716.5	10250538	11996895
chr10	0	12151263	11996895	12305631
chr10	3.4	13373967.5	12305631	14442304
chr10	0	14453971	14442304	14465638
chr10	5.2	15844715.5	14465638	17223793
chr10	2	17532642.5	17223793	17841492
chr10	0	17841492	17841492	17841492
chr10	2.09999999999999	18514376.5	17841492	19187261
chr12	1.2	9005180	8763695	9246665
chr12	0.2	9311907.5	9246665	9377150
chr12	0.8	9565527	9377150	9753904
chr12	2	10459915.5	9753904	11165927
chr12	1.1	12168699.5	11165927	13171472
chr12	0.0999999999999996	13413977	13171472	13656482
chr12	0.9	13776958	13656482	13897434
chr12	0	13936014	13897434	13974594
chr12	0.699999999999999	14338255.5	13974594	14701917
chr12	0.5	14860121	14701917	15018325
chr12	1.6	15289509.5	15018325	15560694
chr12	0	15662219	15560694	15763744
chr12	0	15821051.5	15763744	15878359
chr12	1.4	16179992	15878359	16481625
chr12	0	16504526.5	16481625	16527428
chr12	0.399999999999999	16655925	16527428	16784422
chr12	3.4	16994052.5	16784422	17203683
chr12	0	17263906	17203683	17324129
chr12	2.6	17572770.5	17324129	17821412
chr13	36.5	5326278.5	1451171	9201386
chr14	0	2158268.5	2017166	2299371
chr14	27.2	6581003.5	2299371	10862636
chr14	9.8	12292727.5	10862636	13722819
chr14	4.6	13957778	13722819	14192737
chr15	0	432904.5	100324	765485
chr15	0	814938	765485	864391
chr15	4	1302229.5	864391	1740068
chr15	2.8	1916314.5	1740068	2092561
chr15	0.8	2258187	2092561	2423813
chr15	0	2439854	2423813	2455895
chr15	0	2474877.5	2455895	2493860
chr15	1.9	2669440	2493860	2845020
chr15	0.199999999999999	3134739.5	2845020	3424459
chr15	1.2	3510679	3424459	3596899
chr15	16.6	4702787	3596899	5808675
chr15	2.9	7252453.5	5808675	8696232
chr15	0	8740805.5	8696232	8785379
chr15	0	8908234	8785379	9031089
chr15	10.1	10161034	9031089	11290979
chr15	0.299999999999997	11386147	11290979	11481315
chr15	3	11920150.5	11481315	12358986
chr15	0	12365527.5	12358986	12372069
chr17	2.6	6209220	5857405	6561035
chr17	1	6733348.5	6561035	6905662
chr17	1.8	7005906	6905662	7106150
chr17	11.6	7890290	7106150	8674430
chr17	8.5	9270575.5	8674430	9866721
chr17	0.300000000000004	9899206.5	9866721	9931692
chr17	0.0999999999999943	10243095.5	9931692	10554499
chr18	1.5	3636561.5	3285767	3987356
chr18	26.8	6599751.5	3987356	9212147
chr18	2.2	9441465.5	9212147	9670784
chr18	1.5	10008216	9670784	10345648
chr19	2.1	5410808.5	5307632	5513985
chr19	5.4	5812493	5513985	6111001
chr19	2.4	6322270	6111001	6533539
chr19	0	6607297	6533539	6681055
chr19	3.1	6816504	6681055	6951953
chr19	6.5	7239682.5	6951953	7527412
chr19	0.600000000000001	7882557.5	7527412	8237703
chr19	4.7	8675045.5	8237703	9112388
chr19	7.1	9535663.5	9112388	9958939
chr19	1.1	10043144	9958939	10127349
chr19	2.7	10287056	10127349	10446763
chr1A	0.200000000000003	5319468	5113122	5525814
chr1A	3.5	7924239	5525814	10322664
chr1A	1.5	11213424.5	10322664	12104185
chr1A	1.3	21774828.5	12104185	31445472
chr1A	0	32111791	31445472	32778110
chr1A	0	35527800.5	32778110	38277491
chr1A	1.7	40489527.5	38277491	42701564
chr1A	0.199999999999996	45636827	42701564	48572090
chr1A	0	48822449	48572090	49072808
chr1A	1.2	49077051.5	49072808	49081295
chr1A	0	49090568.5	49081295	49099842
chr1A	0.700000000000003	50317971	49099842	51536100
chr1A	0.199999999999996	51777593	51536100	52019086
chr1A	0	52541656	52019086	53064226
chr1A	0.300000000000004	53335908.5	53064226	53607591
chr1A	0.199999999999996	53749792	53607591	53891993
chr1A	0	53893947.5	53891993	53895902
chr1A	0	54274806.5	53895902	54653711
chr1A	0.600000000000001	55018533.5	54653711	55383356
chr1A	0.600000000000001	55483611	55383356	55583866
chr1A	0	56020620	55583866	56457374
chr1A	0	56902161.5	56457374	57346949
chr1A	1.1	58173866.5	57346949	59000784
chr1A	0	59228327	59000784	59455870
